stress,strain
6957657.420058284,-0.0002827245
7053323.36098938,-0.00034548651
7466427.1026742775,-0.00030139949
10845152.548454167,-0.00025967629999999997
14297747.362782713,-0.0002410014
17750290.90792774,-0.0001469175
21181034.73658271,-0.0001252876
24898705.23930983,-0.0001133498
28472828.69699269,-0.0001060217
31872970.895296644,-0.00011015860000000001
35381762.169230126,6.06345e-05
38955714.04846843,0.0001450263
42664385.89917168,0.00022256279
45955621.609606296,0.00014372619999999999
49607660.6760549,0.00032787539
53911770.07430107,0.0003623886
57607149.06998985,0.00030943681
61419853.51030031,0.00032196559
66054129.044419795,0.00039181929
69975361.22249211,0.00030518170000000004
73305316.15542866,0.00050906971
76656951.544773,0.00040482089
80182415.3871228,0.00041333102
83790423.95212157,0.00046391878
87428793.45351808,0.00042195931
91123615.80158138,0.0004630914
94887932.73415877,0.00051592499
98921664.54595095,0.00045611791
102768425.67202184,0.0005106062100000001
106632497.69921634,0.00046852849
110774681.88619071,0.00039595619
114647317.23507915,0.00047337450000000005
118863240.00326818,0.00040753938000000006
122935645.02455871,0.00033130299
126216990.61359732,0.0003034088
130345773.11897495,0.0003398132
133640043.2532779,0.00028898889
136934271.52329066,0.00036747102
141371401.63483617,0.00040328428000000003
144682898.94168246,0.0005016233
148989502.8138859,0.0003597882
152392141.59479073,0.00041593131
155651321.25937536,0.00041841339
158958264.78748867,0.00044157978
163694777.37546843,0.0003932377
167123265.28118888,0.0004408706
170773295.34172633,0.0005532749000000001
174210354.96942827,0.0005652127
177773378.7260255,0.0005266808
181275513.08409274,0.0005266808
184881847.48892784,0.00051237911
188379528.59741744,0.00052750818
192120465.78113452,0.00058057819
195635390.7941688,0.00056745838
199384882.96786606,0.00064144902
203064796.89704272,0.00068979122
206770727.30533496,0.0006252562300000001
210433146.21279988,0.00062832929
215359709.92337286,0.00058294199
219113203.37689108,0.00072477713
222905755.0816591,0.0006588237700000001
226598308.90635657,0.0006608331200000001
230512354.72415403,0.00075160757
235638294.69937703,0.00066071488
239382764.39258337,0.0007867118
243183636.66787878,0.00072442248
247053953.29739743,0.00081531517
250898136.22093076,0.0007492437200000001
255002852.62252557,0.00090053439
258773054.24796465,0.00088989682
262608347.33577025,0.0007977040100000001
266669435.0096679,0.0009037257
270495888.5263236,0.00078021102
274487330.9591217,0.00083257183
278509109.2646024,0.0008537288
282439612.1028666,0.0009306743
286491625.82044846,0.0009306743
290391591.89915353,0.00089899778
294426093.8287355,0.0009345748299999999
298651617.9198636,0.00097251572
302599096.8135038,0.0010148298
308018668.4968837,0.0009811440100000002
312070246.9081365,0.00101010203
316186883.3520402,0.00103220463
320238260.8764165,0.00091069929
325709497.24256444,0.00099201798
329843243.66642845,0.0010447333
333911764.6347677,0.0011272341
338049696.45904094,0.00109863073
342039900.0037176,0.00097428858
346381745.1050855,0.00103161357
350475981.13650876,0.00111435071
354548486.48123336,0.00109981269
358646941.51421577,0.00107747361
362788757.4600138,0.0010757006
366973900.7174773,0.0011605653200000001
371080760.1524282,0.00106955446
375148577.7938356,0.00111600548
379342159.05441755,0.0011394082
383635486.70074725,0.0010890568
387867975.35027206,0.0012787611800000002
392100397.14036554,0.00120488882
396324012.68616414,0.00114519991
400612686.2303268,0.0011837317
404810151.1667041,0.0011837317
409185446.0759162,0.0013029913600000002
413326291.0170483,0.0012697784600000002
417497471.62514156,0.00131599292
421642501.96668273,0.00131599292
425878606.8542772,0.00136409864
416212717.933734,0.00141917795
404493265.5768525,0.00134684205
400547594.6308126,0.00128348917
396962137.2720274,0.00155285746
393450409.7513004,0.00916538119
398055969.22818345,0.011934710740000002
402049487.52632415,0.012037776710000002
406802507.36506146,0.01219131351
410513661.14072096,0.012352060080000001
414354998.1154089,0.01286562204
417853365.75025535,0.01318758607
421894229.44045746,0.01368601918
425683298.7974534,0.01411329627
429250943.4322232,0.014384557010000002
432679632.22481996,0.01486112237
436312267.6556535,0.015300574300000001
439905761.1752308,0.015782222749999998
443321257.4019603,0.01624484181
446723695.4674232,0.016588673590000002
450104402.5033187,0.01712551951
453498034.3244867,0.01738472223
456874321.78052855,0.018052409890000003
460575966.4306906,0.01852105737
463908692.05275357,0.01903568268
467545144.64281994,0.01941059947
470882122.8675924,0.020013043879999998
474414341.9468882,0.02043358326
478111365.75316465,0.021047139170000003
482133746.7535614,0.02153658867
485609345.494743,0.0221457696
489566534.77791274,0.022685689930000003
493107091.0568768,0.02336661577
496526136.6622444,0.023749451640000002
499784562.94104064,0.02453214407
503160113.9147297,0.02497289658
506487850.45173067,0.02581090689
510171347.05211353,0.02625733137
513785332.4731286,0.02690303802
517082565.68028617,0.02763655901
520644384.28705966,0.02844064713
524002255.9127275,0.02896177292
509811234.2683093,0.02999634027
515898195.08213496,0.03000071526
520817894.45488447,0.03000071526
525789593.66473156,0.03008073092
529602905.22296643,0.03008073092
534006125.08804977,0.0303907609
537645758.4727091,0.030857160090000002
541419794.057956,0.031729328630000005
545371625.6720185,0.03274451256
549930676.6997744,0.03377045393
553613436.8178046,0.034293468
557287457.5509715,0.03528253317
560978755.7898331,0.03628246784
564366394.2629917,0.03746135473
567823342.9943548,0.03861896753
571796336.1327764,0.039090211390000004
575110043.1609756,0.0402220583
578913878.8519945,0.04115722179
582422592.5552727,0.04232972622
585853223.3572017,0.04393671989
589457364.6698242,0.04508286476
593833295.6008074,0.04628456116
597272498.1247178,0.04799000740000001
601305761.4404734,0.04921522617
604710007.1106678,0.05082068443
608088270.177192,0.052470574379999996
611496868.9106774,0.05423961639
614788276.4327073,0.05550218582
618704146.9301064,0.05779482841
622207905.4923416,0.059733715060000005
625885107.0201014,0.06225613117
629167674.6966864,0.0646467638
632862086.8707094,0.06728264809
636140234.9674405,0.07066623688
639630733.7615082,0.0739420414
643060494.0193528,0.07826481819
646494540.138188,0.08299218178000001
649807108.8417081,0.08855282784
653171710.640607,0.09658234596
656432112.5298854,0.10820820810000001
658443855.5632827,0.1294035625
655079387.8261158,0.16368911740000003
651814566.0141147,0.17801610950000002
648514988.9552984,0.1866546822
645141748.2321179,0.19450468059999998
641807415.5836177,0.1987957764
638477368.4532394,0.2044633865
635125557.3778816,0.2077851677
631513513.9661984,0.21107526780000002
627975267.9377431,0.2156783867
624285074.7652793,0.2178984642
620989381.3822584,0.2214852333
617329524.2196251,0.2236765862
613617432.6975807,0.22718570710000002
609636470.6006674,0.22943510060000002
606019739.4856672,0.2317313004
